tamanho,cenario,algoritmo,estrutura,tempo_s,comparacoes,movimentacoes
500,medio,bubble,array,0.011789,124497,67037
500,medio,bubble,ligada,0.016949,124497,67037
500,medio,selection,array,0.006223,124750,489
500,medio,selection,ligada,0.006374,124750,489
500,medio,insertion,array,0.006500,67533,67037
500,medio,insertion,ligada,0.008016,58207,67531
500,melhor,bubble,array,0.000031,499,0
500,melhor,bubble,ligada,0.000049,499,0
500,melhor,selection,array,0.006346,124750,0
500,melhor,selection,ligada,0.006341,124750,0
500,melhor,insertion,array,0.000049,499,0
500,melhor,insertion,ligada,0.008395,124750,0
500,pior,bubble,array,0.015110,124750,124750
500,pior,bubble,ligada,0.020267,124750,124750
500,pior,selection,array,0.007245,124750,250
500,pior,selection,ligada,0.006877,124750,250
500,pior,insertion,array,0.011229,124750,124750
500,pior,insertion,ligada,0.007873,499,125249
1000,medio,bubble,array,0.048292,498834,250042
1000,medio,bubble,ligada,0.067927,498834,250042
1000,medio,selection,array,0.025226,499500,992
1000,medio,selection,ligada,0.026251,499500,992
1000,medio,insertion,array,0.025351,251034,250042
1000,medio,insertion,ligada,0.033140,250449,251033
1000,melhor,bubble,array,0.000062,999,0
1000,melhor,bubble,ligada,0.000106,999,0
1000,melhor,selection,array,0.027977,499500,0
1000,melhor,selection,ligada,0.030586,499500,0
1000,melhor,insertion,array,0.000154,999,0
1000,melhor,insertion,ligada,0.033535,499500,0
1000,pior,bubble,array,0.061541,499500,499499
1000,pior,bubble,ligada,0.084983,499500,499499
1000,pior,selection,array,0.026101,499500,501
1000,pior,selection,ligada,0.025851,499500,501
1000,pior,insertion,array,0.047175,499500,499499
1000,pior,insertion,ligada,0.031328,1000,500498
3000,medio,bubble,array,0.447520,4496015,2258525
3000,medio,bubble,ligada,0.626367,4496015,2258525
3000,medio,selection,array,0.217868,4498500,2991
3000,medio,selection,ligada,0.221466,4498500,2991
3000,medio,insertion,array,0.228853,2261518,2258525
3000,medio,insertion,ligada,0.285910,2242967,2261517
3000,melhor,bubble,array,0.000189,2999,0
3000,melhor,bubble,ligada,0.000304,2999,0
3000,melhor,selection,array,0.222992,4498500,0
3000,melhor,selection,ligada,0.227599,4498500,0
3000,melhor,insertion,array,0.000291,2999,0
3000,melhor,insertion,ligada,0.285839,4498500,0
3000,pior,bubble,array,0.603000,4498500,4498500
3000,pior,bubble,ligada,0.772043,4498500,4498500
3000,pior,selection,array,0.233568,4498500,1500
3000,pior,selection,ligada,0.240714,4498500,1500
3000,pior,insertion,array,0.434185,4498500,4498500
3000,pior,insertion,ligada,0.282572,2999,4501499
5000,medio,bubble,array,1.240224,12497455,6220318
5000,medio,bubble,ligada,1.839660,12497455,6220318
5000,medio,selection,array,0.673352,12497500,4996
5000,medio,selection,ligada,0.629166,12497500,4996
5000,medio,insertion,array,0.695471,6225310,6220318
5000,medio,insertion,ligada,0.870769,6282174,6225310
5000,melhor,bubble,array,0.000305,4999,0
5000,melhor,bubble,ligada,0.000509,4999,0
5000,melhor,selection,array,0.699948,12497500,0
5000,melhor,selection,ligada,0.783431,12497500,0
5000,melhor,insertion,array,0.000531,4999,0
5000,melhor,insertion,ligada,0.953988,12497500,0
5000,pior,bubble,array,1.785690,12497500,12497500
5000,pior,bubble,ligada,2.373882,12497500,12497500
5000,pior,selection,array,0.645806,12497500,2500
5000,pior,selection,ligada,0.653956,12497500,2500
5000,pior,insertion,array,1.236933,12497500,12497500
5000,pior,insertion,ligada,0.825062,4999,12502499
10000,medio,bubble,array,5.451020,49986089,25366480
10000,medio,bubble,ligada,7.590732,49986089,25366480
10000,medio,selection,array,2.435301,49995000,9992
10000,medio,selection,ligada,2.571148,49995000,9992
10000,medio,insertion,array,2.534634,25376466,25366480
10000,medio,insertion,ligada,3.370219,24638512,25376472
10000,melhor,bubble,array,0.000762,9999,0
10000,melhor,bubble,ligada,0.001033,9999,0
10000,melhor,selection,array,2.562493,49995000,0
10000,melhor,selection,ligada,2.834347,49995000,0
10000,melhor,insertion,array,0.001549,9999,0
10000,melhor,insertion,ligada,3.392512,49995000,0
10000,pior,bubble,array,6.751289,49995000,49995000
10000,pior,bubble,ligada,9.027371,49995000,49995000
10000,pior,selection,array,2.552720,49995000,5000
10000,pior,selection,ligada,2.746034,49995000,5000
10000,pior,insertion,array,5.228090,49995000,49995000
10000,pior,insertion,ligada,3.583751,9999,50004999
